ID	data	length	Byte1	Byte2	Byte3	Byte4	Byte5	Byte6	Byte7	Byte8
1F5	0F0F000100000300	8	0F	0F	00	01	00	00	03	00
52A	0000FFFFFFFF00FF	8	00	00	FF	FF	FF	FF	00	FF
1EF	00000000	4	00	00	00	00				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
1ED	01900000000014BE	8	01	90	00	00	00	00	14	BE
380	020000008000211F	8	02	00	00	00	80	00	21	1F
C7	03FE0000	4	03	FE	00	00				
1E1	0000040000	5	00	00	04	00	00			
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
191	061E061E05770000	8	06	1E	06	1E	05	77	00	00
189	CFFF0FFF2FFE	6	CF	FF	0F	FF	2F	FE		
1F3	8080	2	80	80						
F1	8D000040	4	8D	00	00	40				
C7	03FE0000	4	03	FE	00	00				
19D	00000000000000FF	8	00	00	00	00	00	00	00	FF
1F5	0F0F000100000300	8	0F	0F	00	01	00	00	03	00
1AF	0000	2	00	00						
C9	0000000000410800	8	00	00	00	00	00	41	08	00
1C3	061E061E00000000	8	06	1E	06	1E	00	00	00	00
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
191	061E061E05770000	8	06	1E	06	1E	05	77	00	00
280	0000000000000000	8	00	00	00	00	00	00	00	00
380	020000008000221E	8	02	00	00	00	80	00	22	1E
388	0000001000000000	8	00	00	00	10	00	00	00	00
F1	B1000040	4	B1	00	00	40				
1E1	00FF050020	5	00	FF	05	00	20			
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
2D1	0000000000	5	00	00	00	00	00			
C7	03FE0000	4	03	FE	00	00				
19D	40003FFF000000FF	8	40	00	3F	FF	00	00	00	FF
1F5	0F0F000100000300	8	0F	0F	00	01	00	00	03	00
1F3	C0C0	2	C0	C0						
1ED	01900000000014BE	8	01	90	00	00	00	00	14	BE
F9	00004000000000FF	8	00	00	40	00	00	00	00	FF
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	99000040	4	99	00	00	40				
C7	03FE0000	4	03	FE	00	00				
388	0000001000000000	8	00	00	00	10	00	00	00	00
F1	8D000040	4	8D	00	00	40				
C9	0000000D00410800	8	00	00	00	0D	00	41	08	00
191	061E061E05770000	8	06	1E	06	1E	05	77	00	00
F9	00004000000000FF	8	00	00	40	00	00	00	00	FF
F1	A5000040	4	A5	00	00	40				
12A	42000000B25C1FFF	8	42	00	00	00	B2	5C	1F	FF
134	00001000	4	00	00	10	00				
1E1	00FE060040	5	00	FE	06	00	40			
1F5	0F0F000100000300	8	0F	0F	00	01	00	00	03	00
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
1A1	00100100000000	7	00	10	01	00	00	00	00	
3C1	0765540000000000	8	07	65	54	00	00	00	00	00
1F3	0000	2	00	00						
1ED	01900000000014BE	8	01	90	00	00	00	00	14	BE
3C9	0000000000000000	8	00	00	00	00	00	00	00	00
